(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),def(NBDEBUG)
(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),def(WSDEBUG)
True,def(_WIN32)
def(WSDEBUG_TRACE),def(WSDEBUG)
def(INET_SOCKETS),def(_WIN32)
def(WSDEBUG),(def(USE_WS_ERRORHANDLER)&def(WSDEBUG))
True,def(WSDEBUG_TRACE)
!def(INET_SOCKETS),def(_WIN32)
def(WSDEBUG),True
def(WIN32),True
def(NBDEBUG),True
!def(INET_SOCKETS),def(INET_SOCKETS)
def(WSDEBUG_TRACE),True
def(FEAT_SUN_WORKSHOP),def(FEAT_BEVAL)
def(WSDEBUG_SENSE),def(WSDEBUG)
True,def(WSDEBUG_SENSE)
def(WSDEBUG_SENSE),True
True,def(WSDEBUG)
True,def(WIN32)
def(NBDEBUG),def(WSDEBUG)
def(MAIN),True
def(NBDEBUG),(def(USE_NB_ERRORHANDLER)&def(NBDEBUG))
def(INET_SOCKETS),True
!def(INET_SOCKETS),True
def(FEAT_BEVAL),True
