!def(FEAT_MBYTE),def(FEAT_MBYTE)
True,(!def(FEAT_BEVAL)&def(WSDEBUG))
True,def(WSDEBUG)
def(FEAT_FKMAP),True
!def(FEAT_BEVAL),True
True,!def(FEAT_BEVAL)
True,def(FEAT_MBYTE)
!def(FEAT_MBYTE),True
True,!def(RISCOS)
def(EBCDIC),True
def(FEAT_MBYTE),True
!def(NO_CONSOLE),True
!def(EBCDIC),True
!def(RISCOS),True
def(FEAT_GUI),True
True,def(NBDEBUG)
True,(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE))
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),True
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),True
(!def(FEAT_BEVAL)&def(WSDEBUG)),True
