(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),def(NBDEBUG)
True,def(WSDEBUG_SENSE)
def(INET_SOCKETS),True
def(WSDEBUG),(def(USE_WS_ERRORHANDLER)&def(WSDEBUG))
def(WSDEBUG_TRACE),def(WSDEBUG)
def(INET_SOCKETS),def(_WIN32)
!def(INET_SOCKETS),def(INET_SOCKETS)
!def(INET_SOCKETS),True
def(NBDEBUG),True
def(WSDEBUG_SENSE),def(WSDEBUG)
def(NBDEBUG),def(WSDEBUG)
True,def(WSDEBUG_TRACE)
def(NBDEBUG),(def(USE_NB_ERRORHANDLER)&def(NBDEBUG))
def(FEAT_BEVAL),True
!def(INET_SOCKETS),def(_WIN32)
def(WSDEBUG_SENSE),True
(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),def(WSDEBUG)
True,def(WIN32)
def(WIN32),True
True,def(_WIN32)
def(WSDEBUG_TRACE),True
def(MAIN),True
def(FEAT_SUN_WORKSHOP),def(FEAT_BEVAL)
def(WSDEBUG),True
True,def(WSDEBUG)
