!def(FEAT_MBYTE),def(FEAT_MBYTE)
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),True
True,!def(EBCDIC)
!def(FEAT_BEVAL),True
True,(!def(FEAT_BEVAL)&def(WSDEBUG))
(!def(FEAT_BEVAL)&def(WSDEBUG)),True
def(FEAT_GUI),True
True,def(FEAT_MBYTE)
def(FEAT_MBYTE),True
!def(NO_CONSOLE),True
def(FEAT_FKMAP),True
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),True
True,(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE))
True,!def(RISCOS)
!def(FEAT_MBYTE),True
True,def(NBDEBUG)
!def(RISCOS),True
!def(EBCDIC),True
True,def(WSDEBUG)
True,!def(FEAT_BEVAL)
def(EBCDIC),True
