!def(INET_SOCKETS),def(_WIN32)
def(NBDEBUG),True
def(WSDEBUG),(def(USE_WS_ERRORHANDLER)&def(WSDEBUG))
def(WIN32),True
True,def(WSDEBUG)
def(FEAT_BEVAL),True
def(INET_SOCKETS),def(_WIN32)
!def(INET_SOCKETS),True
def(WSDEBUG_TRACE),True
def(FEAT_SUN_WORKSHOP),def(FEAT_BEVAL)
True,def(_WIN32)
def(WSDEBUG),True
def(WSDEBUG_SENSE),True
def(MAIN),True
def(WSDEBUG_SENSE),def(WSDEBUG)
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),def(NBDEBUG)
def(INET_SOCKETS),True
!def(INET_SOCKETS),def(INET_SOCKETS)
def(NBDEBUG),def(WSDEBUG)
True,def(WIN32)
def(WSDEBUG_TRACE),def(WSDEBUG)
def(NBDEBUG),(def(USE_NB_ERRORHANDLER)&def(NBDEBUG))
(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),def(WSDEBUG)
True,def(WSDEBUG_TRACE)
True,def(WSDEBUG_SENSE)
