!def(INET_SOCKETS),def(INET_SOCKETS)
def(FEAT_SUN_WORKSHOP),def(FEAT_BEVAL_GUI)
def(WSDEBUG_TRACE),True
def(WSDEBUG),True
def(FEAT_BEVAL_GUI),True
(def(FEAT_BEVAL_GUI)&!def(FEAT_VARTABS)&(!def(FEAT_VARTABS)|!def(FEAT_BEVAL_GUI))),def(FEAT_BEVAL_GUI)
True,def(WSDEBUG)
True,def(WIN32)
!def(INET_SOCKETS),True
(def(FEAT_VARTABS)&def(FEAT_BEVAL_GUI)),def(FEAT_BEVAL_GUI)
True,def(WSDEBUG_TRACE)
(def(FEAT_BEVAL_GUI)&!def(FEAT_VARTABS)&(!def(FEAT_VARTABS)|!def(FEAT_BEVAL_GUI))),True
True,!def(FEAT_PROFILE)
!def(FEAT_PROFILE),True
def(FEAT_BEVAL_GUI),(def(FEAT_VARTABS)&def(FEAT_BEVAL_GUI))
def(FEAT_BEVAL_GUI),(def(FEAT_BEVAL_GUI)&!def(FEAT_VARTABS)&(!def(FEAT_VARTABS)|!def(FEAT_BEVAL_GUI)))
def(WIN32),True
def(WSDEBUG_SENSE),True
def(MAIN),True
True,def(NBDEBUG)
def(INET_SOCKETS),True
