!def(EBCDIC),def(FEAT_MBYTE)
def(FEAT_GUI),True
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),True
!def(FEAT_BEVAL),True
True,def(FEAT_MBYTE)
True,def(NBDEBUG)
True,(!def(FEAT_BEVAL)&def(WSDEBUG))
!def(FEAT_MBYTE),True
!def(NO_CONSOLE),True
!def(RISCOS),True
def(FEAT_MBYTE),True
def(EBCDIC),def(FEAT_MBYTE)
def(RISCOS),True
!def(FEAT_MBYTE),def(FEAT_MBYTE)
(!def(FEAT_BEVAL)&def(WSDEBUG)),True
True,def(WSDEBUG)
True,def(FEAT_FKMAP)
True,!def(FEAT_BEVAL)
True,(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE))
def(FEAT_FKMAP),True
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),True
True,def(RISCOS)
def(FEAT_FKMAP),def(FEAT_MBYTE)
True,!def(RISCOS)
