!def(EBCDIC),def(FEAT_MBYTE)
True,def(NBDEBUG)
def(FEAT_MBYTE),True
!def(FEAT_MBYTE),True
True,def(FEAT_FKMAP)
def(FEAT_GUI),True
True,!def(FEAT_BEVAL)
def(RISCOS),True
True,def(FEAT_MBYTE)
True,(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE))
!def(RISCOS),True
def(FEAT_FKMAP),True
!def(FEAT_BEVAL),True
def(FEAT_FKMAP),def(FEAT_MBYTE)
True,def(WSDEBUG)
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),True
!def(FEAT_MBYTE),def(FEAT_MBYTE)
!def(NO_CONSOLE),True
True,!def(RISCOS)
(!def(FEAT_BEVAL)&def(WSDEBUG)),True
True,(!def(FEAT_BEVAL)&def(WSDEBUG))
True,def(RISCOS)
def(EBCDIC),def(FEAT_MBYTE)
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),True
