!def(INET_SOCKETS),def(INET_SOCKETS)
def(NBDEBUG),def(WSDEBUG)
def(NBDEBUG),(def(USE_NB_ERRORHANDLER)&def(NBDEBUG))
True,def(WSDEBUG)
True,def(WIN32)
(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),def(WSDEBUG)
!def(INET_SOCKETS),def(_WIN32)
def(WSDEBUG_SENSE),True
def(NBDEBUG),True
!def(INET_SOCKETS),True
def(INET_SOCKETS),True
def(MAIN),True
True,def(WSDEBUG_SENSE)
def(WSDEBUG),(def(USE_WS_ERRORHANDLER)&def(WSDEBUG))
def(WSDEBUG_TRACE),True
def(INET_SOCKETS),def(_WIN32)
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),def(NBDEBUG)
def(WSDEBUG_TRACE),def(WSDEBUG)
def(WIN32),True
def(WSDEBUG_SENSE),def(WSDEBUG)
True,def(_WIN32)
def(FEAT_BEVAL),True
def(FEAT_SUN_WORKSHOP),def(FEAT_BEVAL)
True,def(WSDEBUG_TRACE)
def(WSDEBUG),True
