!def(FEAT_MBYTE),def(FEAT_MBYTE)
def(EBCDIC),def(FEAT_MBYTE)
def(FEAT_FKMAP),def(FEAT_MBYTE)
!def(FEAT_MBYTE),True
True,!def(FEAT_BEVAL)
def(FEAT_FKMAP),True
True,def(WSDEBUG)
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),True
True,def(NBDEBUG)
(!def(FEAT_BEVAL)&def(WSDEBUG)),True
def(RISCOS),True
!def(NO_CONSOLE),True
True,(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE))
True,def(FEAT_MBYTE)
True,!def(RISCOS)
True,def(FEAT_FKMAP)
!def(RISCOS),True
!def(FEAT_BEVAL),True
def(FEAT_GUI),True
def(FEAT_MBYTE),True
True,def(RISCOS)
True,(!def(FEAT_BEVAL)&def(WSDEBUG))
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),True
!def(EBCDIC),def(FEAT_MBYTE)
