!def(INET_SOCKETS),def(INET_SOCKETS)
def(MAIN),True
True,def(_WIN32)
def(FEAT_SUN_WORKSHOP),def(FEAT_BEVAL)
def(WSDEBUG),True
def(NBDEBUG),(def(USE_NB_ERRORHANDLER)&def(NBDEBUG))
True,def(WSDEBUG_TRACE)
True,def(WSDEBUG_SENSE)
def(WSDEBUG_SENSE),True
def(NBDEBUG),def(WSDEBUG)
(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),def(WSDEBUG)
def(NBDEBUG),True
def(WSDEBUG_TRACE),True
def(WIN32),True
!def(INET_SOCKETS),True
!def(INET_SOCKETS),def(_WIN32)
def(WSDEBUG_SENSE),def(WSDEBUG)
def(INET_SOCKETS),True
True,def(WSDEBUG)
def(WSDEBUG_TRACE),def(WSDEBUG)
def(FEAT_BEVAL),True
def(INET_SOCKETS),def(_WIN32)
def(WSDEBUG),(def(USE_WS_ERRORHANDLER)&def(WSDEBUG))
True,def(WIN32)
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),def(NBDEBUG)
