def(FEAT_SUN_WORKSHOP),def(FEAT_BEVAL)
def(WIN32),True
!def(INET_SOCKETS),def(_WIN32)
def(INET_SOCKETS),True
def(FEAT_BEVAL),True
def(WSDEBUG_SENSE),def(WSDEBUG)
True,def(WSDEBUG)
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),def(NBDEBUG)
def(NBDEBUG),def(WSDEBUG)
True,def(WIN32)
def(WSDEBUG_SENSE),True
True,def(_WIN32)
def(NBDEBUG),True
def(INET_SOCKETS),def(_WIN32)
!def(INET_SOCKETS),def(INET_SOCKETS)
True,def(WSDEBUG_TRACE)
!def(INET_SOCKETS),True
def(MAIN),True
def(NBDEBUG),(def(USE_NB_ERRORHANDLER)&def(NBDEBUG))
def(WSDEBUG_TRACE),def(WSDEBUG)
def(WSDEBUG_TRACE),True
def(WSDEBUG),(def(USE_WS_ERRORHANDLER)&def(WSDEBUG))
(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),def(WSDEBUG)
def(WSDEBUG),True
True,def(WSDEBUG_SENSE)
