(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),def(NBDEBUG)
def(FEAT_SUN_WORKSHOP),def(FEAT_BEVAL)
True,def(WSDEBUG_TRACE)
def(WSDEBUG_TRACE),True
def(WIN32),True
def(WSDEBUG_SENSE),def(WSDEBUG)
True,def(WIN32)
def(NBDEBUG),True
def(FEAT_BEVAL),True
def(INET_SOCKETS),True
def(INET_SOCKETS),def(_WIN32)
True,def(WSDEBUG_SENSE)
!def(INET_SOCKETS),def(INET_SOCKETS)
def(NBDEBUG),(def(USE_NB_ERRORHANDLER)&def(NBDEBUG))
def(WSDEBUG),(def(USE_WS_ERRORHANDLER)&def(WSDEBUG))
(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),def(WSDEBUG)
True,def(_WIN32)
!def(INET_SOCKETS),def(_WIN32)
def(WSDEBUG),True
True,def(WSDEBUG)
def(MAIN),True
def(WSDEBUG_SENSE),True
def(WSDEBUG_TRACE),def(WSDEBUG)
def(NBDEBUG),def(WSDEBUG)
!def(INET_SOCKETS),True
