!def(FEAT_MBYTE),def(FEAT_MBYTE)
True,def(FEAT_MBYTE)
True,(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE))
True,def(NBDEBUG)
!def(RISCOS),True
def(FEAT_FKMAP),True
True,!def(RISCOS)
True,(!def(FEAT_BEVAL)&def(WSDEBUG))
def(EBCDIC),True
True,def(WSDEBUG)
True,!def(FEAT_BEVAL)
!def(FEAT_BEVAL),True
!def(FEAT_MBYTE),True
!def(NO_CONSOLE),True
(!def(FEAT_BEVAL)&def(WSDEBUG)),True
!def(EBCDIC),True
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),True
def(FEAT_MBYTE),True
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),True
def(FEAT_GUI),True
