!def(GNOME),get_language_list,parameter,Function,4
def(HAVE_LIBART),width,additon,Variable,4
def(HAVE_LIBART),height,additon,Variable,4
True,color,exclusion,Variable,4
True,renderer,exclusion,Variable,4
def(HAVE_LIBART),renderer_libart_copy_to_window,additon,Function,4
True,color_black,exclusion,Variable,4
def(HAVE_LIBART),points,additon,Variable,4
def(HAVE_LIBART),draw_arc,exclusion,Function,4
True,width,exclusion,Variable,4
True,height,exclusion,Variable,4
def(HAVE_LIBART),angle1,additon,Variable,4
True,ddisplay_transform_coords,exclusion,Function,4
True,transform_coord,additon,Function,4
True,store,exclusion,Variable,4
def(HAVE_LIBART),renderer,additon,Variable,4
True,center,exclusion,Variable,4
def(HAVE_LIBART),center,additon,Variable,4
def(HAVE_LIBART),ul_corner,additon,Variable,4
def(HAVE_LIBART),angle2,additon,Variable,4
def(HAVE_LIBART),num_points,additon,Variable,4
def(HAVE_LIBART),lr_corner,additon,Variable,4
def(HAVE_LIBART),numpoints,additon,Variable,4
True,draw_arc,additon,Function,4
