def(FEAT_TERMRESPONSE),
def(FEAT_GUI),
!def(FEAT_GUI_GTK),
def(DEBUG),
def(FEAT_GUI_W32),
def(FEAT_BEVAL),
!def(PROTO),
def(FEAT_TOOLBAR),
!def(FEAT_GUI_W32),
True,
