Date, Evolution,Number of Functions Change,Number of Variables Change,Function(+),Variable(+),Function(-),Variable(-),Modifier Change(Var.),Especifier Change(Var.),Qualifier Change(Var.),Type Change(Var.),Function Return Change,	Modifier Change (Func.), Specifier Change (Func.),Qualifier Change (Func.),Parameters Change (Func.)
21-02-2013 01:02:22,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-02-2013 02:12:19,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-02-2013 08:36:21,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-02-2013 01:50:24,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-02-2013 06:16:44,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-02-2013 06:31:12,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-02-2013 07:07:57,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-02-2013 10:47:08,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-02-2013 10:47:21,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-02-2013 10:52:39,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-02-2013 10:54:09,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-02-2013 11:57:35,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-02-2013 05:56:47,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-02-2013 05:58:41,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-02-2013 06:27:43,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-02-2013 06:28:02,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-02-2013 06:47:36,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-02-2013 06:59:14,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-02-2013 07:00:36,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-02-2013 06:51:00,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-02-2013 01:49:18,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-12-2001 09:03:35,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-03-2011 12:59:51,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-03-2011 01:16:13,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-03-2011 01:31:16,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-03-2011 02:55:21,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-03-2011 03:07:16,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-03-2011 03:09:12,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-03-2011 06:39:50,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-03-2011 06:53:18,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-03-2011 06:56:21,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-03-2011 07:01:32,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
