"Sistema","Media","Mediana","Min","Max","Desvio"
"Vim",0.0265631832094447,0,0,3,0.168772682874808
"PaceMaker",0.0885805145995953,0,0,3,0.294537470806149
"LibXML",2.25,2,0,9,1.14539534386546
"Lighttpd",0.0570809248554913,0,0,3,0.273502238519511
"Collectd",0.217973231357553,0,0,3,0.425229965176571
"Syslog",0.0544290288153682,0,0,2,0.268155582440795
"Ccache",0.462918080465342,0,0,3,0.625560169203327
"Gawk",1.31401617250674,1,0,6,0.667173456299581
"Gzip",0.0114155251141553,0,0,1,0.106353350590192
"LibNFC",0.0136054421768707,0,0,1,0.115874321342757
"LibSSH",3.95529338714685,4,0,11,1.16463976886694
"librskafka",0.00285001781261133,0,0,1,0.0533189272527616
"Mosquitto",0.326048951048951,0,0,5,0.91329431745063
"MPSolve",0.227488151658768,0,0,2,0.454604676431569
"OpenVPN",1.12408759124088,1,0,7,1.33855378664705
"Ossec",0.27641408751334,0,0,3,0.53048996797877
"PianoBar",0.0452830188679245,0,0,2,0.251869111886236
"SilverSearch",0.0315,0,0,3,0.224795499306045
"GNUPlot",0.575546448087432,1,0,6,0.554481279734604
"OpenSC",1.51778980160682,1,0,8,1.00937064182368
"Sylpheed ",0,0,0,0,0
"Curl",0.446204957832865,0,0,5,0.835737948480208
"Gnuchess",0.131914893617021,0,0,2,0.438093374398383
"Totem",0.156096026837195,0,0,3,0.405530675217807
"M4",0.0841784989858012,0,0,3,0.318647498035434
"Dia",1.07564296520424,1,0,4,0.502530070480747
"MapServer",2.94597156398104,3,0,11,1.19034325121562
"Ethersex",0.4953130231001,0,0,7,0.609013271351457
"Uwsgi",3.091415402343,3,0,10,2.66861233450493
"Hexchat",0.316627358490566,0,0,3,0.642526671842223
