"maintenance_points","impact_points"
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
12,1
12,1
12,1
12,1
11,1
11,1
11,1
11,1
11,1
11,1
12,1
11,1
12,1
10,1
12,1
12,1
12,1
11,1
11,1
3,2
3,2
4,3
6,2
2,1
1,1
1,1
2,2
3,2
2,2
3,2
3,2
1,1
6,4
5,4
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
5,4
6,5
2,2
6,5
5,4
5,2
5,2
5,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
10,8
3,2
4,3
5,4
6,5
3,2
7,6
2,2
2,2
2,2
2,2
2,2
2,2
2,2
5,4
5,4
5,2
5,2
5,2
2,2
2,2
2,2
2,2
2,2
5,4
7,6
2,2
2,2
5,4
5,4
7,6
2,2
2,2
2,2
2,2
2,2
2,2
2,2
7,6
6,4
7,6
2,2
2,2
2,2
2,2
7,6
1,1
5,5
5,3
5,3
5,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
5,5
5,5
5,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
4,4
4,4
4,3
4,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
4,4
4,2
4,2
4,2
4,2
4,2
2,2
2,2
2,2
2,2
4,4
4,2
4,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
6,6
7,6
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
3,3
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
3,2
6,6
7,6
7,3
3,3
5,4
5,3
5,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
5,5
1,1
6,6
6,3
6,3
6,3
6,3
6,3
6,3
6,3
3,3
3,3
3,3
3,3
3,3
3,3
5,5
1,1
7,5
3,3
3,3
3,3
3,3
7,6
1,1
3,2
7,7
7,3
7,3
3,3
3,3
3,3
3,3
3,3
3,3
5,4
7,6
1,1
3,1
5,5
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
5,5
6,5
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
5,5
2,1
8,6
3,3
8,7
2,1
2,1
2,1
7,5
6,6
6,5
4,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
4,3
7,6
2,2
9,6
5,3
3,3
3,3
7,5
4,1
4,1
6,5
6,5
5,5
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
5,4
5,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
7,6
6,5
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
5,5
6,5
6,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
5,5
2,1
2,1
2,1
6,5
6,3
3,3
3,3
6,4
6,3
6,3
6,3
6,3
6,3
8,6
6,5
6,3
6,3
6,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
4,3
3,3
4,4
2,2
2,2
2,2
7,6
8,6
8,6
8,6
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
7,6
8,6
8,2
8,2
8,2
8,2
8,2
8,2
8,2
8,2
8,2
8,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
9,7
6,5
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
5,5
4,1
2,1
2,1
2,1
2,1
4,1
2,1
3,1
1,1
5,5
5,3
5,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
5,5
1,1
6,5
4,4
4,4
4,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
7,6
1,1
1,1
1,1
7,6
7,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
6,5
1,1
7,6
3,3
3,3
3,3
3,3
6,5
9,6
9,3
3,3
3,3
3,3
3,3
3,3
6,5
6,5
6,3
6,3
6,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
7,6
1,1
3,3
3,3
2,1
2,1
2,1
2,1
2,1
2,1
2,1
3,3
2,2
2,2
2,2
5,2
4,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
1,1
2,2
2,2
2,2
2,2
4,4
4,2
4,2
4,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
4,4
4,4
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
1,1
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
5,5
6,3
6,3
6,3
6,3
6,3
6,3
6,3
9,9
9,3
9,3
9,3
9,3
3,3
3,3
3,3
3,3
3,3
3,3
5,5
5,3
5,3
5,5
5,5
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
3,3
3,3
3,3
3,3
3,3
7,7
7,3
7,3
7,3
14,12
14,2
14,2
14,2
3,3
2,2
2,2
4,4
4,2
4,2
4,2
4,2
4,2
4,2
9,9
17,17
17,3
17,3
17,3
4,4
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
5,5
6,6
2,2
2,2
2,2
2,2
2,2
3,3
3,2
2,2
4,4
4,4
6,6
4,4
4,4
18,13
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
18,18
18,2
18,2
18,2
18,2
18,2
18,2
18,2
2,2
2,2
2,2
2,2
2,2
8,6
8,2
8,2
8,8
8,2
2,2
2,2
2,2
2,2
7,7
19,14
19,2
19,2
19,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
100,66
101,3
101,3
101,3
3,3
3,3
3,3
3,3
3,3
3,3
26,19
26,3
26,3
26,3
44,34
2,2
3,2
3,2
3,2
43,22
43,2
43,2
43,2
2,2
2,2
2,2
2,2
2,2
2,2
48,37
39,24
39,3
46,30
2,2
2,2
2,2
2,2
2,2
2,2
2,2
4,4
4,4
4,2
24,15
24,2
24,2
33,22
3,3
2,2
24,15
24,2
46,25
46,2
2,2
2,2
2,2
4,4
4,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
47,28
47,2
47,2
47,2
47,2
47,2
47,2
47,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
34,21
34,2
2,2
2,2
9,8
2,2
2,2
2,2
39,24
39,2
3,2
3,2
3,2
3,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
70,54
71,3
71,3
3,3
37,21
37,3
37,3
37,3
37,3
3,3
42,25
70,41
70,3
46,27
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
53,35
49,27
51,5
51,5
51,5
88,63
70,45
20,20
20,20
47,38
20,20
78,44
79,20
20,20
20,20
20,20
20,20
76,47
76,19
87,53
87,20
85,56
82,43
20,20
20,20
37,30
37,20
20,20
20,20
20,20
20,20
20,20
20,20
20,20
62,52
63,15
63,15
70,43
70,15
70,15
70,15
70,15
70,15
68,35
69,40
15,15
15,15
17,16
17,16
15,15
69,41
20,15
21,16
21,16
21,15
21,15
21,15
21,15
20,15
66,38
15,15
15,15
15,15
15,15
80,41
15,14
15,14
15,14
15,14
15,14
15,14
17,16
17,14
80,43
16,14
16,14
16,14
16,14
16,14
16,14
16,14
120,76
21,21
