"maintenance_points","impact_points"
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
10,9
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
56,28
56,9
10,9
10,9
10,9
10,9
10,9
10,9
11,10
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
54,36
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
109,79
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
10,8
10,7
10,7
10,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
16,9
16,6
16,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
11,7
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
11,7
8,6
10,6
10,6
8,6
8,6
8,6
8,6
10,6
10,8
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
11,9
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
26,19
26,6
7,6
7,6
7,6
14,10
7,6
8,7
12,8
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
8,7
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
10,9
7,6
7,6
7,6
7,6
9,8
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
14,13
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
8,7
7,6
7,6
7,6
8,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
8,7
8,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
8,7
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
8,7
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
8,7
8,7
7,6
7,6
8,7
8,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
8,7
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
8,7
7,6
7,6
7,6
7,6
7,6
8,7
8,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
8,7
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
8,7
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
8,7
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
8,7
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
8,7
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
8,7
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
8,7
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
11,7
11,6
11,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
8,7
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
8,7
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
9,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
8,6
7,6
7,6
8,6
8,6
8,6
8,6
7,6
7,6
7,6
8,7
7,6
7,6
7,6
8,7
7,6
7,6
7,6
7,6
7,6
5,4
5,4
5,4
5,4
5,4
6,5
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
6,5
6,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
6,5
6,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
6,5
6,4
6,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
6,4
6,4
6,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
8,7
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
7,5
7,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
5,5
5,5
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
9,5
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
5,5
5,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
5,5
4,4
5,5
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
5,5
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
5,5
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
5,5
5,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
5,5
5,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
5,5
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
5,5
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
17,12
17,4
17,4
17,4
17,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
5,5
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
5,3
4,2
4,2
4,2
4,2
1,1
2,1
1,1
5,3
5,3
5,2
8,3
4,2
1,1
1,1
5,3
13,4
2,1
2,1
2,1
18,4
22,4
17,4
12,4
14,4
10,2
21,6
13,5
12,4
21,6
21,6
1,1
1,1
1,1
1,2
2,2
2,2
3,3
1,1
1,1
13,3
2,2
6,3
1,1
7,4
2,2
2,2
3,3
3,3
3,3
2,2
3,3
3,3
2,2
2,2
2,2
2,2
2,2
3,3
3,3
3,3
2,2
1,3
3,3
4,4
4,4
3,3
3,3
2,2
2,2
3,3
3,3
3,3
2,2
2,2
2,1
2,1
2,1
4,4
3,3
4,4
3,3
2,2
4,4
4,4
4,4
3,3
2,2
2,2
2,2
3,3
2,2
4,4
4,4
2,2
4,4
3,3
3,3
3,3
2,2
3,3
3,3
1,1
1,1
1,1
1,1
3,3
4,4
4,4
3,3
4,4
3,3
4,4
4,4
3,3
2,2
3,3
3,3
4,4
3,3
4,4
2,2
3,3
2,2
4,4
3,3
2,2
4,4
4,4
3,3
3,3
4,4
5,5
5,5
2,2
4,4
5,5
4,4
6,5
4,4
3,3
2,2
3,3
3,3
3,3
3,3
3,3
2,2
4,4
3,3
1,1
2,1
3,2
3,2
2,1
4,2
3,1
2,1
3,2
3,2
2,1
2,1
2,1
2,1
1,1
2,1
1,1
1,1
1,1
1,1
14,5
14,5
3,2
2,1
2,1
2,1
1,1
2,1
2,1
2,1
2,1
1,1
5,3
1,1
3,2
1,1
2,2
5,2
4,2
2,2
8,6
7,4
2,2
2,2
1,1
1,1
2,1
4,3
2,1
3,2
4,3
4,3
3,3
3,3
4,3
3,3
3,3
3,3
3,3
3,3
4,4
2,1
1,1
1,1
1,1
1,1
2,1
3,2
3,2
2,1
2,1
2,1
2,1
1,1
1,1
1,1
3,2
2,1
2,1
2,1
2,1
4,2
4,2
2,1
2,1
2,1
2,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
2,1
2,1
2,1
1,1
1,1
2,5
2,2
2,1
2,3
2,2
2,1
8,2
4,3
4,1
11,2
23,2
18,1
1,1
2,1
4,1
4,1
4,2
4,1
1,2
1,1
1,1
1,1
1,1
1,2
1,2
1,1
6,2
6,2
1,3
1,1
1,2
1,2
1,1
8,1
2,3
14,1
13,1
13,1
13,1
15,1
15,1
15,1
16,2
16,3
16,1
16,4
16,1
16,2
16,2
16,1
20,2
20,3
16,4
16,1
23,2
60,1
20,3
20,3
20,1
20,2
20,2
20,1
20,4
20,3
20,1
20,3
18,1
18,3
17,4
17,1
17,2
17,1
19,2
10,3
9,1
9,1
9,2
9,2
9,3
9,1
4,1
4,3
5,1
7,2
13,4
21,1
19,1
8,1
22,2
9,1
51,1
10,2
20,1
17,1
26,1
11,1
12,1
20,1
20,1
20,1
20,1
14,1
13,1
7,1
5,1
5,1
5,1
5,1
7,1
19,1
7,1
7,1
7,1
7,1
15,1
14,1
14,1
18,1
9,3
18,7
26,3
12,1
12,2
12,1
12,1
13,1
15,1
9,2
19,2
15,2
12,3
38,2
37,2
1,1
1,1
1,2
1,1
1,1
1,2
1,1
6,2
6,1
6,1
2,1
2,1
1,1
1,1
2,1
8,1
6,1
3,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
2,1
2,1
1,1
1,1
1,1
3,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
2,1
3,1
3,1
3,1
6,1
7,1
7,1
7,1
7,1
3,1
3,1
3,1
1,1
1,1
1,1
1,1
1,1
6,1
6,1
6,1
6,1
6,1
6,1
6,1
6,1
6,1
3,1
5,1
5,1
4,1
3,1
3,1
1,1
2,1
2,1
2,1
8,1
8,1
8,1
5,1
12,1
1,1
15,1
5,1
5,1
6,1
6,1
4,1
3,1
1,1
8,1
1,1
1,1
9,5
9,1
4,1
4,1
4,1
6,1
3,1
6,1
6,1
6,1
6,1
6,1
6,1
6,1
6,1
6,1
6,1
3,1
1,1
1,1
1,1
4,1
3,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
12,1
1,1
3,1
3,1
3,1
3,1
3,1
5,1
1,1
1,1
1,1
1,1
12,1
9,1
12,1
9,1
9,1
1,1
1,1
1,1
3,1
4,1
1,1
1,1
1,1
9,1
1,1
1,1
1,1
1,1
1,1
4,1
4,1
4,1
4,1
5,1
5,1
5,1
5,1
1,1
4,1
6,2
8,1
8,1
8,1
5,1
5,1
5,1
9,1
1,1
1,1
7,1
7,1
5,1
13,1
2,1
2,1
2,1
2,1
2,1
4,1
1,1
5,1
2,1
2,1
2,1
3,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
3,1
3,1
1,3
3,1
3,1
1,1
1,1
1,1
1,1
1,3
1,3
3,1
1,1
2,1
2,1
3,2
3,1
3,1
3,1
1,1
1,1
1,1
1,1
3,1
3,1
3,1
3,1
3,3
3,1
3,1
3,1
1,1
1,1
1,1
1,1
5,1
2,1
2,1
2,1
3,1
3,1
1,1
1,1
1,1
13,1
13,2
13,1
1,1
1,1
3,1
3,1
3,1
3,1
6,1
1,1
3,1
3,1
3,1
1,1
3,1
3,3
3,3
3,1
2,1
1,1
2,1
2,1
2,1
2,1
2,1
1,1
3,1
2,1
4,1
4,1
2,5
2,1
3,1
3,1
3,1
3,1
3,1
5,1
5,1
3,1
11,2
1,1
1,5
1,2
1,1
1,1
1,6
1,6
1,11
1,6
1,5
1,1
8,1
1,1
1,1
1,1
1,1
1,2
1,1
11,2
5,8
23,9
9,6
3,1
3,1
4,6
3,11
3,6
3,1
6,7
5,1
5,6
5,2
5,1
5,10
5,13
5,7
5,10
12,10
5,8
5,2
6,1
4,1
4,2
4,4
5,2
5,2
5,5
6,11
5,7
5,2
13,2
5,2
5,2
7,2
5,2
5,2
5,5
5,8
5,6
5,2
5,1
5,6
5,8
5,4
5,4
11,3
5,3
5,8
5,6
5,1
5,1
5,6
11,1
5,3
5,10
5,1
5,1
5,4
5,1
6,1
5,2
6,3
7,4
5,1
3,4
3,3
3,2
3,2
5,2
3,4
3,1
3,2
3,1
4,3
4,3
5,4
1,3
2,3
2,2
2,6
2,1
3,4
4,4
9,1
3,3
3,1
8,1
3,3
3,6
3,2
2,2
2,4
3,5
2,2
2,2
4,1
9,1
2,2
2,1
2,1
1,1
3,1
2,4
2,7
3,6
2,1
2,1
1,2
1,2
1,1
3,3
2,8
2,4
2,6
2,5
2,5
2,1
2,4
3,1
2,10
7,7
2,2
2,2
3,6
6,1
2,1
1,2
1,2
3,2
1,4
2,1
2,5
2,5
1,2
4,3
3,1
2,2
6,2
6,2
6,2
2,2
2,2
2,2
3,1
4,4
4,2
4,4
13,2
2,3
2,3
2,7
2,7
2,5
2,2
2,2
6,2
2,2
3,5
3,5
3,2
3,1
3,1
3,1
3,1
3,9
3,7
3,2
3,2
3,2
3,2
3,1
14,2
23,2
22,2
1,2
1,2
1,2
2,2
5,2
5,2
7,2
2,1
2,1
2,2
2,2
2,5
7,5
10,4
39,3
1,1
10,5
6,1
2,2
7,1
2,1
1,3
3,3
1,2
1,2
5,2
1,2
1,1
1,1
1,1
1,2
1,2
3,2
1,2
6,2
4,2
7,1
11,3
11,3
15,2
3,1
3,2
3,3
3,2
6,1
5,1
3,2
3,3
2,2
2,2
2,3
2,3
1,1
3,1
1,4
1,1
1,2
1,1
1,1
1,5
1,11
1,4
1,4
1,4
2,14
1,2
1,11
1,15
1,9
1,2
1,2
1,21
1,16
1,4
1,14
1,6
1,6
1,6
1,6
1,6
1,6
1,6
1,6
1,6
1,6
1,6
1,6
1,8
1,6
1,6
1,6
1,6
1,19
1,7
1,23
1,2
1,2
1,2
1,2
1,22
1,5
1,14
1,2
1,1
1,1
1,1
2,2
1,2
17,2
1,2
