"Sistema","Media","Mediana","Min","Max","Desvio"
"Vim",0.0733493659816353,0,0,31,0.869774928534149
"PaceMaker",0.169297484822203,0,0,23,0.836538966303501
"LibXML",7.35656779661017,6,0,79,6.51262318369849
"Lighttpd",0.231936416184971,0,0,43,1.5587630530143
"Collectd",0.636520076481836,0,0,31,1.62607039435669
"Syslog",0.0962036895868273,0,0,6,0.515140611216586
"Ccache",1.31362094037809,0,0,56,5.51824797764309
"Gawk",12.2924528301887,14,0,49,6.20146882342784
"Gzip",0.0388127853881279,0,0,4,0.371588779652173
"LibNFC",0.0296404275996113,0,0,9,0.376246548422722
"LibSSH",12.3840422229121,11,0,88,7.22783482115795
"librskafka",0.00285001781261133,0,0,1,0.0533189272527616
"Mosquitto",3.26311188811189,0,0,71,12.8601673752076
"MPSolve",0.402843601895735,0,0,21,1.19673195350106
"OpenVPN",1.61571489909833,1,0,35,2.28350058659766
"Ossec",0.432230522945571,0,0,26,1.48494821278913
"PianoBar",0.0817610062893082,0,0,7,0.513894517437074
"SilverSearch",0.037,0,0,4,0.275079687394778
"GNUPlot",0.991939890710383,1,0,88,2.02446184238452
"OpenSC",3.47581570749303,2,0,73,5.01639134845445
