"cap4_Fadd","cap4_Frmv","cap4_FRet","cap4_FMod","cap4_FSpe","cap4_FQua","cap4_FPar","cap4_Vadd","cap4_Vrmv","cap4_VMod","cap4_VSpe","cap4_VQua","cap4_Vtyp","cap5_Fadd","cap5_Frmv","cap5_FRet","cap5_FMod","cap5_FSpe","cap5_FQua","cap5_FPar","cap5_Vadd","cap5_Vrmv","cap5_VMod","cap5_VSpe","cap5_VQua","cap5_Vtyp"
61,86,0,0,0,0,3,21,33,0,0,0,0,5,22,0,0,0,0,2,2,12,0,0,0,0
10,141,0,0,0,0,0,485,388,0,0,0,0,3,8,0,0,0,0,0,11,11,0,0,0,0
18,85,3,0,2,0,0,548,655,0,0,0,0,4,4,2,0,0,0,0,9,11,0,0,0,0
1,3,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
62,32,1,0,0,0,1,7,27,0,0,0,0,11,5,0,0,0,0,2,3,3,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
64,26,0,0,0,0,0,40,37,0,0,0,0,5,6,0,0,0,0,0,3,2,0,0,0,0
78,0,0,0,0,0,0,13,0,0,0,0,0,20,0,0,0,0,0,0,9,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,11,4,0,0,0,2,29,4,0,0,0,0,6,0,1,0,0,0,1,12,3,0,0,0,0
0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
245,12,0,0,0,0,35,6,20,0,0,0,0,5,3,0,0,0,0,4,3,9,0,0,0,0
13,4,0,0,0,0,49,3,2,0,0,0,0,8,3,0,0,0,0,1,1,0,0,0,0,0
44,52,0,0,2,0,49,21,62,0,0,0,0,14,6,0,0,0,0,1,4,4,0,0,0,0
2,4,0,0,0,0,49,8,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0
0,5,0,0,0,0,49,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
17,1,0,0,0,0,49,5,2,0,0,0,0,6,0,0,0,0,0,1,3,0,0,0,0,0
5,3,0,0,0,0,49,0,6,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0
0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,30,0,0,0,0,49,2,16,0,0,0,0,4,4,0,0,0,0,0,1,6,0,0,0,0
5,9,0,0,0,0,44,0,6,0,0,0,0,3,3,0,0,0,0,1,0,6,0,0,0,0
0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,44,27,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,5,0,0,0,0,44,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0
2,0,0,0,0,0,44,1,3,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0
0,2,0,0,0,0,44,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4,4,0,0,0,0,44,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,2,1,0,0,0,44,4,4,0,0,0,0,4,1,1,0,0,0,1,3,3,0,0,0,0
0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,52,3,0,0,0,44,51,4,0,0,0,0,3,2,1,0,0,0,1,6,2,0,0,0,0
82,98,0,1,0,0,31,31,11,0,0,0,0,13,15,0,1,0,0,2,15,6,0,0,0,0
2,2,0,0,0,0,51,0,1,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0
5,5,0,0,0,0,51,9,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0
5,3,0,0,0,0,51,5,2,0,0,0,0,5,3,0,0,0,0,3,4,1,0,0,0,0
0,0,0,0,0,0,51,2,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,2
7,5,0,0,0,0,51,0,11,0,0,0,0,2,1,0,0,0,0,3,2,6,2,0,0,0
5,1,0,0,0,0,51,0,0,0,0,0,0,2,1,0,0,0,0,3,2,0,0,0,0,0
44,60,0,0,0,0,35,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0
71,59,0,0,0,0,35,5,8,0,0,0,0,6,6,0,0,0,0,1,4,1,0,0,0,0
158,186,0,0,0,0,35,51,94,0,0,0,0,23,13,0,0,0,0,1,7,11,0,0,0,0
1,0,0,0,0,0,63,0,5,0,0,0,0,1,0,0,0,0,0,15,0,1,0,0,0,0
56,35,0,0,0,0,63,46,26,0,0,0,0,4,8,0,0,0,0,15,2,2,0,0,0,0
23,43,0,0,0,0,63,11,39,0,0,0,0,4,4,0,0,0,0,15,3,0,0,0,0,0
0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
6,26,0,0,0,0,63,12,19,0,0,0,0,3,2,0,0,0,0,15,3,1,0,0,0,0
15,0,0,0,0,0,63,15,0,0,0,0,0,2,0,0,0,0,0,15,2,0,0,0,0,0
0,7,0,0,0,0,63,4,2,0,0,0,0,0,3,0,0,0,0,15,1,2,0,0,0,0
0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
81,49,0,0,0,0,47,0,0,0,0,0,0,6,1,0,0,0,0,13,0,0,0,0,0,0
0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
1,1,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
3,0,0,0,0,0,63,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0
0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
3,0,0,0,0,0,63,11,0,0,0,0,0,1,0,0,0,0,0,15,2,0,0,0,0,0
0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
1,1,0,0,0,0,63,0,0,0,0,0,0,1,1,0,0,0,0,15,0,0,0,0,0,0
91,47,0,0,0,0,63,13,6,0,0,0,0,8,3,0,0,0,0,14,5,1,0,0,0,0
39,11,0,0,0,0,63,72,21,0,0,0,0,3,2,0,0,0,0,16,10,1,0,0,0,0
0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
0,0,0,0,0,0,63,19,19,0,0,0,0,0,0,0,0,0,0,16,6,0,0,0,0,0
0,3,0,0,0,1,64,0,11,0,0,0,0,0,1,0,0,0,0,17,0,2,0,0,0,0
0,0,0,0,0,1,64,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
0,0,0,0,0,1,64,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
1,0,0,0,0,1,64,1,0,0,0,0,0,1,0,0,0,0,0,17,1,0,0,0,0,0
0,0,0,0,0,1,64,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
0,0,0,0,0,1,64,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
2,0,0,0,0,1,64,2,0,0,0,0,0,1,0,0,0,0,0,17,2,0,0,0,0,0
6,14,0,0,0,1,64,0,4,0,0,0,0,1,2,0,0,0,0,17,0,0,0,0,0,0
0,0,0,0,0,1,64,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
0,0,0,0,0,1,64,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
72,8,0,0,0,1,64,20,0,0,0,0,0,2,1,0,0,0,0,17,7,0,0,0,0,0
1,0,0,0,0,0,63,4,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0
0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
31,81,0,0,0,0,63,18,15,0,0,0,0,4,5,0,0,0,0,16,1,3,0,0,0,0
67,73,0,0,0,4,67,52,45,0,0,0,0,5,3,0,0,0,0,17,2,1,0,0,0,0
0,0,0,0,0,4,67,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
10,0,0,0,0,4,67,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
4,4,0,0,0,4,67,0,0,0,0,0,0,3,4,0,0,0,0,17,0,0,0,0,0,0
4,14,0,0,0,4,67,0,0,0,0,0,0,1,1,0,0,0,0,17,0,0,0,0,0,0
27,0,0,0,0,4,67,0,4,0,0,0,0,3,0,0,0,0,0,17,0,4,0,0,0,0
1,0,0,0,0,4,67,0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,0,0
4,4,0,0,0,4,67,2,0,0,0,0,0,2,1,0,0,0,0,17,2,0,0,0,0,0
2,2,0,0,0,4,67,1,1,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0
0,0,0,0,0,4,67,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
0,0,0,0,0,4,67,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
0,0,0,0,0,4,67,0,1,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0
5,8,0,0,0,4,68,12,11,0,0,0,0,2,1,0,0,0,0,18,1,2,0,0,0,0
0,0,0,0,0,4,67,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
0,0,0,0,0,4,67,0,2,0,0,0,0,0,0,0,0,0,0,17,0,2,0,0,0,0
1,0,0,0,0,4,67,2,0,0,0,0,0,1,0,0,0,0,0,17,2,0,0,0,0,0
0,15,0,0,0,4,67,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
3,3,0,0,0,4,67,0,0,0,0,0,0,2,2,0,0,0,0,17,0,0,0,0,0,0
0,0,0,0,0,4,67,0,29,0,0,0,0,0,0,0,0,0,0,17,0,13,0,0,0,0
0,0,0,0,0,4,67,12,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
3,11,0,0,0,4,67,18,0,0,0,0,0,0,2,0,0,0,0,17,6,0,0,0,0,0
0,0,0,0,0,4,67,2,0,0,0,0,0,0,0,0,0,0,0,17,2,2,0,0,0,2
75,0,0,0,0,4,67,0,8,0,0,0,0,2,0,0,0,0,0,17,2,8,2,0,0,0
20,58,0,0,0,0,63,9,0,0,0,0,0,3,0,0,0,0,0,16,7,0,0,0,0,0
1,0,0,0,0,11,72,0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,0,0
0,0,0,0,0,11,72,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
0,0,0,0,0,11,72,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
5,0,0,0,0,11,72,0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,0,0
0,0,0,0,0,11,72,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
31,6,0,0,0,11,72,11,4,0,0,0,0,5,2,0,0,0,0,17,3,2,0,0,0,0
6,0,0,0,0,11,72,2,0,0,0,0,0,2,0,0,0,0,0,17,2,0,0,0,0,0
38,73,0,0,0,11,72,24,54,0,0,0,0,11,7,0,0,0,0,15,9,4,0,0,0,0
0,0,0,0,0,11,76,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
17,22,0,0,0,11,88,0,0,0,0,0,0,1,2,0,0,0,0,22,0,0,0,0,0,0
60,60,0,0,0,11,60,0,0,0,0,0,0,4,1,0,0,0,0,18,0,0,0,0,0,0
100,38,0,0,0,2,67,55,35,0,0,0,0,17,6,0,0,0,0,20,7,7,0,0,0,0
1,0,0,0,0,2,67,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0
20,1,0,0,0,2,67,0,0,0,0,0,0,4,1,0,0,0,0,20,0,0,0,0,0,0
1,0,0,0,1,2,68,0,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0
1,4,0,0,1,2,68,6,7,0,0,0,0,1,3,0,0,0,0,21,6,5,0,0,0,0
0,0,0,0,1,2,68,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
69,80,0,0,1,2,68,58,67,0,0,0,0,9,9,0,0,0,0,20,10,6,0,0,0,0
0,6,0,0,1,2,68,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
1,12,0,0,1,2,66,0,1,0,0,0,0,1,4,0,0,0,0,19,0,1,0,0,0,0
0,0,0,0,1,2,67,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
0,0,0,0,1,2,67,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
2,5,0,0,1,2,67,6,11,0,0,0,0,2,3,0,0,0,0,20,6,5,0,0,0,2
9,1,0,0,1,2,67,0,2,0,0,0,0,5,1,0,0,0,0,20,2,2,2,0,0,0
12,26,0,0,1,2,67,6,8,0,0,0,0,3,4,0,0,0,0,18,7,4,0,0,0,0
0,0,0,0,1,2,67,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
7,149,0,0,1,2,67,0,13,0,0,0,0,1,2,0,0,0,0,19,0,0,0,0,0,0
14,3,0,0,1,6,73,0,0,0,0,0,0,4,1,0,0,0,0,21,0,0,0,0,0,0
15,3,0,0,1,6,71,0,17,0,0,0,0,6,1,0,0,0,0,20,0,2,0,0,0,0
11,2,0,0,1,6,71,9,4,0,0,0,0,3,2,0,0,0,0,20,6,1,0,0,0,0
13,4,0,0,1,6,71,0,0,0,0,0,0,2,0,0,0,0,0,20,0,0,0,0,0,0
38,9,0,0,1,6,77,5,1,0,0,0,0,16,4,0,0,0,0,20,1,0,0,0,0,0
