!def(HAVE_VASPRINTF),
!def(HAVE_FGETLN),
def(HAVE_STRNDUP),
!def(HAVE_STRLCPY),
True,
!def(HAVE_REALPATH),
!def(HAVE_DIRENT_DNAMLEN),
def(HAVE_DIRENT_DNAMLEN),
!def(HAVE_STRNDUP),
!def(_WIN32),
!def(HAVE_GETLINE),
def(USE_PCRE_JIT),
(!def(_WIN32)&!def(HAVE_DIRENT_DTYPE)),
(def(HAVE_DIRENT_DTYPE)&!def(_WIN32)),
def(_WIN32),
