!def(HAVE_REALPATH),
!def(HAVE_STRLCPY),
def(USE_PCRE_JIT),
!def(_WIN32),
!def(HAVE_FGETLN),
!def(HAVE_GETLINE),
True,
(!def(_WIN32)&!def(HAVE_DIRENT_DTYPE)),
!def(HAVE_STRNDUP),
!def(HAVE_DIRENT_DNAMLEN),
def(_WIN32),
!def(HAVE_VASPRINTF),
def(HAVE_PLEDGE),
def(HAVE_DIRENT_DNAMLEN),
(def(HAVE_DIRENT_DTYPE)&!def(_WIN32)),
def(HAVE_STRNDUP),
