!def(HAVE_LIBART),def(HAVE_LIBART)
def(DEBUG_CUSTOM),True
def(HAVE_FREETYPE),True
!def(HAVE_FREETYPE),True
!def(UNICODE_WORK_IN_PROGRESS),True
def(G_OS_WIN32),True
def(UNICODE_WORK_IN_PROGRESS),True
def(GNOME),True
def(HAVE_LIBART),!def(HAVE_LIBART)
True,!def(UNICODE_WORK_IN_PROGRESS)
def(INITIAL_IMAGE),True
True,!def(HAVE_LANGINFO_CODESET)
!def(GNOME),True
!def(HAVE_UNICODE),True
def(HAVE_FREETYPE),!def(HAVE_FREETYPE)
def(PAGELAYOUT_TEST),True
def(GNOME_PRINT),True
True,def(HAVE_LIBART)
(!def(GNOME_PRINT)&def(GNOME)),True
True,!def(HAVE_LIBART)
def(HAVE_LIBART),True
!def(GNOME_PRINT),True
True,def(FOR_TRANSLATORS_ONLY)
True,def(GNOME)
True,!def(GNOME)
