!def(NO_DEBUG_MEMORY),xmlFree,additon,Function,7
True,xmlNewDtd,parameter,Function,7
True,xmlDocDump,type,Function,7
True,format,exclusion,Variable,7
True,node,exclusion,Variable,7
True,buf,exclusion,Variable,7
True,xmlBufferCreateSize,additon,Function,7
True,doc,exclusion,Variable,7
True,content,additon,Variable,7
True,level,exclusion,Variable,7
True,xmlNewDocText,additon,Function,7
True,f,additon,Variable,7
def(LIBXML_HTML_ENABLED),encoding,additon,Variable,7
True,uri,additon,Variable,7
def(LIBXML_HTML_ENABLED),htmlNodeDump,additon,Function,7
def(STANDALONE),ftpData,parameter,Function,7
True,xmlNodeListGetString,additon,Function,7
def(STANDALONE),ftpList,parameter,Function,7
True,xmlNewDoc,exclusion,Function,7
True,xmlBufferWriteChar,parameter,Function,7
True,cur,exclusion,Variable,7
True,xmlBufferCreate,exclusion,Function,7
True,xmlBufferWriteCHAR,parameter,Function,7
True,len,additon,Variable,7
True,xmlNewNode,parameter,Function,7
