Date, Evolution,Number of Functions Change,Number of Variables Change,Function(+),Variable(+),Function(-),Variable(-),Modifier Change(Var.),Especifier Change(Var.),Qualifier Change(Var.),Type Change(Var.),Function Return Change,	Modifier Change (Func.), Specifier Change (Func.),Qualifier Change (Func.),Parameters Change (Func.)
13-04-2007 06:24:41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 06:26:37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 06:26:56,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 06:29:51,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 06:48:08,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 06:48:55,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 06:59:12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 06:59:27,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:12:56,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:19:51,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:20:58,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:21:29,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:22:38,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:28:16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:31:04,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:31:09,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:31:14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:34:58,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:35:57,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:36:25,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:37:03,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:37:06,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:37:07,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:37:10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:37:11,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:37:28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:37:44,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:37:49,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:40:08,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:40:24,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:40:27,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:40:35,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:40:45,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:40:56,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:40:59,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:41:01,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:41:03,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:41:06,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:41:08,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:41:10,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:41:11,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:41:21,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:41:23,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:41:25,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:41:30,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:41:35,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:41:40,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:41:52,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:41:57,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:42:00,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:42:01,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:42:04,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:42:27,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:43:09,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:43:41,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:43:50,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:43:52,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:44:16,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:45:27,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:45:39,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:45:41,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:45:43,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:45:56,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:46:14,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:46:23,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:46:41,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:47:12,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:47:16,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:47:21,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:47:28,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:47:30,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:47:59,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:48:21,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:48:30,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:48:37,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:48:42,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:48:43,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:48:45,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:48:54,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:48:55,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:48:59,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:49:04,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:49:06,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:49:32,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:49:36,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:59:05,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:59:15,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:59:22,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:59:28,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:59:33,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:59:39,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:59:44,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:59:49,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 07:59:53,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 08:00:00,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 08:00:06,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 08:00:19,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 08:00:32,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 08:00:43,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 08:01:16,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 08:01:21,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 08:01:26,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 08:01:34,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 08:01:40,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 08:01:50,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 08:01:54,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 08:02:00,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 08:02:04,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 08:02:19,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 08:02:24,111,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 08:02:29,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 08:02:33,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 08:02:38,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 08:02:42,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 08:02:46,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 08:02:51,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 08:02:55,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 08:03:00,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-2007 08:03:05,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
