!def(HAVE_TMPFILE),
!def(STDC_HEADERS),
def(DEBUG_INCL),
((((!def(CRAY2)|def(alloca)|(!def(alloca)&!def(CRAY2)))&(!def(CRAY2)|def(alloca)))|(!def(alloca)&!def(CRAY2)))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
def(_LIBC),
def(HAVE_TMPFILE),
def(LTDL_SHLIB_EXT),
def(USE_STACKOVF),
def(DEBUG_SYM),
(def(emacs)&!def(alloca)),
!def(_LIBC),
def(LTDL_SYSSEARCHPATH),
(((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2))))&(def(alloca)|def(CRAY2))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
!def(alloca),
True,
