!def(alloca),
def(DEBUG_INCL),
((((!def(CRAY2)|def(alloca)|(!def(alloca)&!def(CRAY2)))&(!def(CRAY2)|def(alloca)))|(!def(alloca)&!def(CRAY2)))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
(def(emacs)&!def(alloca)),
def(LTDL_SHLIB_EXT),
def(_LIBC),
def(DEBUG_SYM),
!def(STDC_HEADERS),
def(LTDL_SYSSEARCHPATH),
True,
def(USE_STACKOVF),
(((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2))))&(def(alloca)|def(CRAY2))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
!def(_LIBC),
