def(USE_STACKOVF),
(def(emacs)&!def(alloca)),
!def(errno),
def(DEBUG_SYM),
((((!def(CRAY2)|def(alloca)|(!def(alloca)&!def(CRAY2)))&(!def(CRAY2)|def(alloca)))|(!def(alloca)&!def(CRAY2)))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
!def(HAVE_TMPFILE),
def(HAVE_TMPFILE),
def(LTDL_SHLIB_EXT),
def(LTDL_SYSSEARCHPATH),
True,
(((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2))))&(def(alloca)|def(CRAY2))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
def(DEBUG_INCL),
!def(alloca),
!def(STDC_HEADERS),
def(_LIBC),
!def(_LIBC),
