def(LTDL_SHLIB_EXT),
!def(alloca),
!def(errno),
(def(emacs)&!def(alloca)),
!def(STDC_HEADERS),
def(_LIBC),
def(DEBUG_INCL),
!def(_LIBC),
def(DEBUG_SYM),
(((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2))))&(def(alloca)|def(CRAY2))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
((((!def(CRAY2)|def(alloca)|(!def(alloca)&!def(CRAY2)))&(!def(CRAY2)|def(alloca)))|(!def(alloca)&!def(CRAY2)))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
!def(HAVE_TMPFILE),
def(LTDL_SYSSEARCHPATH),
def(USE_STACKOVF),
True,
def(HAVE_TMPFILE),
