(def(emacs)&!def(alloca)),
!def(STDC_HEADERS),
def(_LIBC),
((((!def(CRAY2)|def(alloca)|(!def(alloca)&!def(CRAY2)))&(!def(CRAY2)|def(alloca)))|(!def(alloca)&!def(CRAY2)))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
def(USE_STACKOVF),
def(LTDL_SHLIB_EXT),
def(LTDL_SYSSEARCHPATH),
(((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2))))&(def(alloca)|def(CRAY2))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
!def(alloca),
def(DEBUG_SYM),
!def(NDEBUG),
!def(_LIBC),
def(DEBUG_INCL),
True,
