def(DEBUG_SYM),
True,
!def(alloca),
(def(emacs)&!def(alloca)),
!def(STDC_HEADERS),
!def(NDEBUG),
def(DEBUG_INCL),
(((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2))))&(def(alloca)|def(CRAY2))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
((((!def(CRAY2)|def(alloca)|(!def(alloca)&!def(CRAY2)))&(!def(CRAY2)|def(alloca)))|(!def(alloca)&!def(CRAY2)))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
def(_LIBC),
!def(_LIBC),
def(USE_STACKOVF),
def(LTDL_SHLIB_EXT),
def(LTDL_SYSSEARCHPATH),
