def(USE_STACKOVF),
!def(_LIBC),
def(_LIBC),
def(LTDL_SHLIB_EXT),
!def(alloca),
def(DEBUG_INCL),
def(LTDL_SYSSEARCHPATH),
True,
def(DEBUG_SYM),
(((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2))))&(def(alloca)|def(CRAY2))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
!def(STDC_HEADERS),
((((!def(CRAY2)|def(alloca)|(!def(alloca)&!def(CRAY2)))&(!def(CRAY2)|def(alloca)))|(!def(alloca)&!def(CRAY2)))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
!def(NDEBUG),
(def(emacs)&!def(alloca)),
