(def(emacs)&!def(alloca)),
def(LTDL_SYSSEARCHPATH),
def(USE_STACKOVF),
def(LTDL_SHLIB_EXT),
(((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2))))&(def(alloca)|def(CRAY2))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
((((!def(CRAY2)|def(alloca)|(!def(alloca)&!def(CRAY2)))&(!def(CRAY2)|def(alloca)))|(!def(alloca)&!def(CRAY2)))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
!def(_LIBC),
def(DEBUG_INCL),
True,
!def(alloca),
def(_LIBC),
!def(STDC_HEADERS),
def(DEBUG_SYM),
!def(NDEBUG),
