def(USE_STACKOVF),
def(DEBUG_SYM),
!def(_LIBC),
!def(errno),
(def(emacs)&!def(alloca)),
!def(STDC_HEADERS),
def(DEBUG_INCL),
((((!def(CRAY2)|def(alloca)|(!def(alloca)&!def(CRAY2)))&(!def(CRAY2)|def(alloca)))|(!def(alloca)&!def(CRAY2)))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
def(LTDL_SHLIB_EXT),
(((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2))))&(def(alloca)|def(CRAY2))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
def(_LIBC),
!def(HAVE_TMPFILE),
def(LTDL_SYSSEARCHPATH),
True,
def(HAVE_TMPFILE),
!def(alloca),
