def(LTDL_SYSSEARCHPATH),
(((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2))))&(def(alloca)|def(CRAY2))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
(def(emacs)&!def(alloca)),
!def(_LIBC),
!def(STDC_HEADERS),
def(USE_STACKOVF),
def(DEBUG_SYM),
!def(alloca),
!def(errno),
((((!def(CRAY2)|def(alloca)|(!def(alloca)&!def(CRAY2)))&(!def(CRAY2)|def(alloca)))|(!def(alloca)&!def(CRAY2)))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
def(HAVE_TMPFILE),
def(DEBUG_INCL),
def(LTDL_SHLIB_EXT),
def(_LIBC),
True,
!def(HAVE_TMPFILE),
