!def(alloca),
!def(_LIBC),
def(LTDL_SHLIB_EXT),
(((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2))))&(def(alloca)|def(CRAY2))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
(def(emacs)&!def(alloca)),
def(_LIBC),
def(USE_STACKOVF),
((((!def(CRAY2)|def(alloca)|(!def(alloca)&!def(CRAY2)))&(!def(CRAY2)|def(alloca)))|(!def(alloca)&!def(CRAY2)))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
True,
def(DEBUG_INCL),
!def(STDC_HEADERS),
!def(NDEBUG),
def(LTDL_SYSSEARCHPATH),
def(DEBUG_SYM),
