def(DEBUG_INCL),
def(LTDL_SYSSEARCHPATH),
def(DEBUG_SYM),
!def(HAVE_TMPFILE),
def(USE_STACKOVF),
!def(_LIBC),
(((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2))))&(def(alloca)|def(CRAY2))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
!def(STDC_HEADERS),
(def(emacs)&!def(alloca)),
True,
((((!def(CRAY2)|def(alloca)|(!def(alloca)&!def(CRAY2)))&(!def(CRAY2)|def(alloca)))|(!def(alloca)&!def(CRAY2)))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
def(LTDL_SHLIB_EXT),
def(HAVE_TMPFILE),
!def(alloca),
def(_LIBC),
