!def(STDC_HEADERS),
!def(HAVE_TMPFILE),
def(LTDL_SYSSEARCHPATH),
(def(emacs)&!def(alloca)),
def(DEBUG_INCL),
def(DEBUG_SYM),
!def(alloca),
!def(_LIBC),
def(_LIBC),
True,
def(USE_STACKOVF),
((((!def(CRAY2)|def(alloca)|(!def(alloca)&!def(CRAY2)))&(!def(CRAY2)|def(alloca)))|(!def(alloca)&!def(CRAY2)))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
(((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2))))&(def(alloca)|def(CRAY2))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
def(LTDL_SHLIB_EXT),
def(HAVE_TMPFILE),
