def(LTDL_SYSSEARCHPATH),
def(DEBUG_INCL),
!def(NDEBUG),
(def(emacs)&!def(alloca)),
def(LTDL_SHLIB_EXT),
def(USE_STACKOVF),
def(DEBUG_SYM),
(((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2))))&(def(alloca)|def(CRAY2))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
!def(STDC_HEADERS),
((((!def(CRAY2)|def(alloca)|(!def(alloca)&!def(CRAY2)))&(!def(CRAY2)|def(alloca)))|(!def(alloca)&!def(CRAY2)))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
!def(_LIBC),
!def(alloca),
True,
def(_LIBC),
