def(LTDL_SYSSEARCHPATH),
def(DEBUG_SYM),
(((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2))))&(def(alloca)|def(CRAY2))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
!def(_LIBC),
True,
def(USE_STACKOVF),
def(LTDL_SHLIB_EXT),
!def(STDC_HEADERS),
def(_LIBC),
!def(alloca),
(def(emacs)&!def(alloca)),
def(DEBUG_INCL),
!def(NDEBUG),
((((!def(CRAY2)|def(alloca)|(!def(alloca)&!def(CRAY2)))&(!def(CRAY2)|def(alloca)))|(!def(alloca)&!def(CRAY2)))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
