!def(alloca),
def(LTDL_SHLIB_EXT),
!def(NDEBUG),
!def(STDC_HEADERS),
(def(emacs)&!def(alloca)),
def(_LIBC),
def(DEBUG_INCL),
!def(_LIBC),
def(USE_STACKOVF),
def(LTDL_SYSSEARCHPATH),
True,
def(DEBUG_SYM),
(((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2))))&(def(alloca)|def(CRAY2))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
((((!def(CRAY2)|def(alloca)|(!def(alloca)&!def(CRAY2)))&(!def(CRAY2)|def(alloca)))|(!def(alloca)&!def(CRAY2)))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
