def(LTDL_SHLIB_EXT),
(!def(HAVE_MKTEMP)|!def(HAVE_MKSTEMP)|(def(HAVE_MKTEMP)&def(HAVE_MKSTEMP)&!def(HAVE_TMPFILE))),
(!def(HAVE_TMPFILE)&(!def(HAVE_MKTEMP)|!def(HAVE_MKSTEMP))&(!def(HAVE_MKTEMP)|!def(HAVE_MKSTEMP)|(def(HAVE_MKTEMP)&def(HAVE_MKSTEMP)&!def(HAVE_TMPFILE)))),
!def(HAVE_MKTEMP),
!def(_LIBC),
True,
(!def(HAVE_MKSTEMP)&def(HAVE_MKTEMP)&(!def(HAVE_MKTEMP)|!def(HAVE_MKSTEMP))&(!def(HAVE_MKTEMP)|!def(HAVE_MKSTEMP)|(def(HAVE_MKTEMP)&def(HAVE_MKSTEMP)&!def(HAVE_TMPFILE)))),
(def(HAVE_MKTEMP)&def(HAVE_MKSTEMP)&(!def(HAVE_MKTEMP)|!def(HAVE_MKSTEMP)|(def(HAVE_MKTEMP)&def(HAVE_MKSTEMP)&!def(HAVE_TMPFILE)))),
def(USE_STACKOVF),
def(LTDL_SYSSEARCHPATH),
def(DEBUG_INCL),
def(HAVE_TMPFILE),
(def(HAVE_MKTEMP)&def(HAVE_MKSTEMP)&(!def(HAVE_MKTEMP)|!def(HAVE_MKSTEMP)|def(HAVE_TMPFILE))),
!def(STDC_HEADERS),
