!def(STDC_HEADERS),
def(DEBUG_SYM),
def(LTDL_SHLIB_EXT),
def(USE_STACKOVF),
True,
!def(alloca),
(((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2))))&(def(alloca)|def(CRAY2))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
(def(emacs)&!def(alloca)),
!def(NDEBUG),
!def(_LIBC),
def(DEBUG_INCL),
def(_LIBC),
((((!def(CRAY2)|def(alloca)|(!def(alloca)&!def(CRAY2)))&(!def(CRAY2)|def(alloca)))|(!def(alloca)&!def(CRAY2)))&((def(CRAY2)&!def(alloca))|(def(CRAY2)&!def(alloca)&(def(alloca)|def(CRAY2)))|(!def(alloca)&!def(CRAY2)))),
def(LTDL_SYSSEARCHPATH),
