openvpn,lissh,ossec,opensc,Sylpheed,Lighttpd,Gnuplot,Hexchat,MPSolve,Gzip,ev
"0,14","0,34","0,04","0,24","0,24","0,14","0,13","0,08","0,12","0,25",1
"0,14","0,29","0,04","0,35","0,24","0,12","0,1","0,05","0,11","0,25",2
"0,13","0,35","0,05","0,23","0,24","0,12","0,09","0,05","0,11","0,25",3
"0,13","0,44","0,06","0,24","0,25","0,12","0,08","0,05","0,11","0,25",4
"0,13","0,48","0,07","0,2","0,24","0,12","0,08","0,06","0,11","0,24",5
"0,13","0,5","0,08","0,17","0,23","0,12","0,08","0,07","0,11","0,23",6
"0,13","0,51","0,09","0,15","0,23","0,11","0,08","0,07","0,11","0,23",7
"0,13","0,53","0,09","0,14","0,19","0,11","0,08","0,08","0,11","0,21",8
"0,12","0,54","0,09","0,13","0,16","0,1","0,08","0,09","0,11",,9
"0,12","0,54","0,09","0,11","0,14","0,1","0,08","0,08","0,11",,10
"0,12","0,55","0,09","0,1","0,13","0,1","0,08","0,08","0,1",,11
"0,11","0,57","0,1","0,09","0,12","0,1","0,08","0,07","0,1",,12
"0,11","0,57","0,1","0,08","0,11","0,1","0,08","0,07","0,1",,13
"0,11","0,57","0,09","0,07","0,11","0,1","0,07","0,07","0,1",,14
"0,1","0,57","0,1","0,07","0,1","0,1","0,07","0,08","0,11",,15
"0,1","0,57","0,1","0,06","0,1","0,09","0,07","0,09","0,11",,16
"0,09","0,57","0,1","0,06","0,1","0,09","0,07","0,1","0,11",,17
"0,09","0,56","0,1","0,06","0,1","0,09","0,07","0,11","0,11",,18
"0,09","0,55","0,1","0,06","0,09","0,08","0,07","0,11","0,11",,19
"0,09","0,55",,"0,06","0,09","0,08","0,07","0,11","0,11",,20
"0,09","0,54",,"0,06","0,09","0,08","0,07","0,11","0,1",,21
"0,09","0,54",,"0,07","0,09","0,08","0,06","0,11","0,1",,22
"0,08","0,53",,"0,07","0,08","0,08","0,05","0,11","0,11",,23
"0,08","0,52",,"0,07","0,08","0,07","0,05","0,11","0,1",,24
"0,08","0,51",,"0,08","0,08","0,07","0,05","0,11","0,1",,25
"0,08","0,5",,"0,08","0,08","0,07","0,05","0,12","0,1",,26
"0,08","0,49",,"0,08","0,08","0,07","0,05","0,12","0,1",,27
"0,08","0,49",,"0,09","0,09","0,07","0,05","0,11","0,1",,28
"0,08","0,48",,"0,1","0,09","0,07","0,05","0,11","0,11",,29
