DepTotal,DependenciesDeleted,DependenciesAdditions,DependenciesChanged,DependenciesNotModified
466,57,65,64,280
858,106,114,113,525
1250,155,163,162,770
1642,204,212,211,1015
1968,255,261,260,1192
2432,304,319,319,1490
2922,353,368,368,1833
3412,402,417,417,2176
3902,451,466,466,2519
4392,500,515,515,2862
5161,550,580,578,3453
6030,610,658,660,4102
7070,663,727,744,4936
8185,721,791,851,5822
9193,771,841,920,6661
10222,820,890,969,7543
11251,869,939,1019,8424
12287,918,990,1077,9302
13881,983,1078,1264,10556
15412,1032,1128,1362,11890
16988,1081,1177,1470,13260
18651,1134,1241,1576,14700
20366,1183,1290,1674,16219
22086,1232,1339,1779,17736
23801,1281,1388,1877,19255
25519,1331,1437,1983,20768
27185,1380,1486,2081,22238
28864,1430,1541,2179,23714
30579,1479,1590,2277,25233
32303,1528,1639,2387,26749
34018,1577,1688,2485,28268
35743,1627,1738,2595,29783
37458,1676,1787,2693,31302
39173,1725,1836,2791,32821
40888,1774,1885,2889,34340
42607,1823,1934,2992,35858
44333,1874,1989,3097,37373
46202,1928,2067,3278,38929
48433,1981,2124,3625,40703
50823,2037,2182,3983,42621
53273,2086,2231,4326,44630
55877,2140,2282,4736,46719
58572,2189,2331,5177,48875
61298,2239,2386,5619,51054
64223,2291,2445,6120,53367
67348,2340,2494,6656,55858
70484,2389,2543,7195,58357
