"Sistema","Min","Mediana","Media","Max","Desvio"
"vim",0,1.00861111111111,22.4858408523043,140.287361111111,54.8253495488857
"PaceMaker",0.683888888888889,586.715555555556,1039.8497625969,3745.83597222222,1355.24131670652
"LibXML",0,71220,84999.5056179775,253464,90880.9766868394
"Lighttpd",5.39194444444444,1014.46194444444,2012.96083723197,7085.83555555556,2646.67649128533
"Collected",0,249.175,659.217351598174,3345.2,1268.46709607858
"Syslog",0.650277777777778,543.481111111111,856.133169472503,2974.92916666667,1087.51896030733
"ccache",0.211111111111111,914.5,1900.0370030303,8070.96905555555,2997.83544739895
"gawk",0.00111111111111111,0.717777777777778,29.010791722897,142.659444444444,55.3557412906045
"Gzip",49.4686111111111,5264.08888888889,9003.29416666667,21615.2216666667,8909.16108424368
"libnfc",101.765833333333,1146.29361111111,1915.43293650794,7672.26333333333,2856.87766767678
"Libssh",286.293055555556,1459.35972222222,1820.71742643678,5330.19865555555,1795.46065867339
"librskafka",0,1026.74722222222,1707.55709411765,6378.43226666666,2388.76220395041
"Mosquitto",26.9563888888889,1271.4625,1574.84767995169,4512.02138888889,1564.57821112345
"MPSolve",16.0766666666667,727.540555555556,5415.84053333333,21241.9432222222,8123.54806707231
"OpenVPN",0.0322222222222222,727.83625,1265.9933795045,4416.77555555556,1628.72511640245
"Ossec",0.00666666666666667,1015.54875,2204.28921820175,8834.43148611111,3262.03568272509
"PianoBar",45.7533333333333,1817.37972222222,2852.16870676328,9512.49179444444,3374.96998998047
"SilverSearch",0.410833333333333,740.718333333333,1056.7878179669,3535.31702777778,1280.35780778312
"GNUPlot",141.530277777778,4052.6025,6433.94881436314,20982.9833333333,7373.99827839597
"OpenSC",123.181666666667,504.002083333333,2547.84385011574,10109.5470972222,3802.90768983672
"dia",0.701666666666667,389.527777777778,1395.89774134791,5851.73166666667,2208.41170373987
"uwsgi",0.701666666666667,389.527777777778,1395.89774134791,5851.73166666667,2208.41170373987
"mapserver",0.00111111111111111,305.020277777778,851.238744107744,3365.20255555555,1250.17032908544
"Hexchat",77.3941666666667,1516.72125,3090.31925347222,11031.2138888889,4023.99156163829
"ethersex",0,0.609722222222222,13.3253737745782,76.0179999999998,29.6227060178138
"m4",0.00333333333333333,6.55694444444444,120.04376463621,691.430777777778,271.445652783728
"totem",0,358.338333333333,534.049843347639,1840.98955555555,661.853308287521
"gnuchess",0.0172222222222222,1.71333333333333,140.84440645774,725.392222222222,284.466008808557
"Curl",0.804722222222222,970.123888888889,915.002737430168,2634.34277777778,937.455194171447
"Sylpheed",0,80376,89838,211128,77525.182458347
