!def(WIN32),def(WIN32)
def(HAVE_LSTAT),True
def(USE_LINUX_SENDFILE),True
True,def(USE_SOLARIS_PORT)
def(__WIN32),True
def(HAVE_IPV6),True
!def(USE_OPENSSL),True
!def(__WIN32),True
def(USE_OPENSSL),True
True,def(USE_SOLARIS_DEVPOLL)
def(USE_LINUX_EPOLL),!def(USE_LINUX_EPOLL)
def(USE_SOLARIS_PORT),!def(USE_SOLARIS_PORT)
True,def(USE_FREEBSD_KQUEUE)
!def(USE_LINUX_EPOLL),True
def(DEBUG_PROC_OPEN),True
def(USE_POLL),!def(USE_POLL)
!def(USE_SOLARIS_DEVPOLL),True
True,!def(WIN32)
!def(USE_FREEBSD_KQUEUE),True
(!def(USE_MMAP)&!def(__WIN32)),True
def(USE_MMAP),True
def(USE_FREEBSD_KQUEUE),!def(USE_FREEBSD_KQUEUE)
def(WIN32),!def(WIN32)
!def(HAVE_PCRE_H),True
True,def(HAVE_SYS_UN_H)
True,def(HAVE_FORK)
def(HAVE_FORK),True
!def(WIN32),True
def(USE_LINUX_SIGIO),True
def(DEBUG_PROC_OPEN),!def(WIN32)
(def(__WIN32)&!def(USE_MMAP)),True
def(DEBUG_ARRAY),True
def(USE_LINUX_EPOLL),True
True,def(WIN32)
def(USE_FREEBSD_KQUEUE),True
def(USE_SELECT),!def(USE_SELECT)
!def(USE_MMAP),True
def(USE_POLL),True
def(DEBUG_PROC_OPEN),def(WIN32)
!def(HAVE_SYS_UN_H),True
def(USE_SOLARIS_DEVPOLL),!def(USE_SOLARIS_DEVPOLL)
def(HAVE_PCRE_H),True
def(WIN32),True
True,def(USE_POLL)
True,def(USE_LINUX_EPOLL)
def(USE_SOLARIS_DEVPOLL),True
def(HAVE_SYS_UN_H),True
!def(USE_SOLARIS_PORT),True
!def(USE_POLL),True
def(USE_LICENSE),True
True,def(USE_SELECT)
def(USE_SOLARIS_PORT),True
