"index","Possible","variabilities","sumFunc","FAdd","FExc","FPar","FTyp","FMod","FEsp","FQua","sumVar","VAdd","VExc","VTyp","VMod","VEsp","VQua"
11046,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11056,2,1,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0
11068,2,1,2,1,1,0,0,0,0,0,3,0,3,0,0,0,0
11070,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11078,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11107,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11110,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
11117,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11123,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
11127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11155,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11177,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
11180,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
11182,2,1,3,0,0,3,0,0,0,0,1,1,0,0,0,0,0
11183,2,1,5,1,2,2,0,0,0,0,2,1,1,0,0,0,0
11184,2,1,2,1,1,0,0,0,0,0,4,3,1,0,0,0,0
11185,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
11187,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
11242,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11245,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11247,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
11253,2,1,1,0,0,0,0,0,1,0,2,0,2,0,0,0,0
11254,2,1,3,1,1,0,0,0,1,0,5,2,3,0,0,0,0
11255,2,1,1,0,0,0,0,0,1,0,3,2,1,0,0,0,0
11258,2,1,3,1,1,0,0,0,1,0,3,1,2,0,0,0,0
11262,1,1,3,1,1,0,0,0,1,0,2,2,0,0,0,0,0
11263,2,1,3,1,1,0,0,0,1,0,2,0,2,0,0,0,0
11266,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
11272,2,1,3,1,1,0,0,0,1,0,1,0,1,0,0,0,0
11276,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
11278,2,1,5,2,2,0,0,0,1,0,5,3,2,0,0,0,0
11280,2,1,3,1,1,0,0,0,1,0,4,1,3,0,0,0,0
11282,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11293,2,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
11294,2,1,3,1,1,0,0,0,1,0,3,2,1,0,0,0,0
11362,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
11364,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
11378,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11383,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11385,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11389,1,1,2,1,1,0,0,0,0,0,2,0,2,0,0,0,0
11394,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
11395,1,1,2,1,1,0,0,0,0,0,3,3,0,0,0,0,0
11396,2,1,2,1,1,0,0,0,0,0,3,0,3,0,0,0,0
11398,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11412,2,1,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0
11414,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
