!def(INTEGRATED_CIB),
def(XML_TRACE),
!def(USE_BUGGY_LIBXML),
True,
def(MSG_LOG),
def(INTEGRATED_CIB),
def(DOT_ALL_FSA_INPUTS),
def(FSA_TRACE),
def(DOT_FSA_ACTIONS),
!def(DOT_ALL_FSA_INPUTS),
