def(HAVE_GETOPT_H),
def(HAVE_NET_IF_H),
def(HAVE_GNUTLS_GNUTLS_H),
!def(HAVE_GNUTLS_GNUTLS_H),
True,
!def(USE_BUGGY_LIBXML),
def(XML_TRACE),
