!def(SUPPORT_CS_QUORUM),
def(SUPPORT_REMOTE),
def(HAVE_IPCS_GET_BUFFER_SIZE),
def(ENABLE_VERSIONED_ATTRS),
True,
def(HAVE_SYS_SIGNALFD_H),
!def(HAVE_GNUTLS_GNUTLS_H),
def(HAVE_SYS_TIMEB_H),
!def(HAVE_G_LOG_SET_DEFAULT_HANDLER),
def(RHEL7_COMPAT),
def(HAVE_NET_IF_H),
def(HAVE_GETOPT_H),
def(FSA_TRACE),
