def(MSG_LOG),
True,
def(FSA_TRACE),
!def(DOT_ALL_FSA_INPUTS),
def(XML_TRACE),
!def(USE_BUGGY_LIBXML),
def(DOT_ALL_FSA_INPUTS),
def(DOT_FSA_ACTIONS),
