def(MSG_LOG),
!def(DOT_ALL_FSA_INPUTS),
def(DOT_ALL_FSA_INPUTS),
def(DOT_FSA_ACTIONS),
True,
!def(USE_BUGGY_LIBXML),
def(XML_TRACE),
def(FSA_TRACE),
