def(XML_TRACE),
def(DOT_ALL_FSA_INPUTS),
True,
!def(USE_BUGGY_LIBXML),
def(DOT_FSA_ACTIONS),
!def(DOT_ALL_FSA_INPUTS),
def(FSA_TRACE),
def(MSG_LOG),
