def(HAVE_NET_IF_H),
!def(HAVE_MSGFROMIPC_TIMEOUT),
def(HAVE_GETOPT_H),
!def(HAVE_STRUCT_LRM_OP_T_RSC_DELETED),
def(HAVE_STRUCT_LRM_OP_T_RSC_DELETED),
def(HAVE_GNUTLS_GNUTLS_H),
True,
def(FSA_TRACE),
!def(ON_LINUX),
def(ON_LINUX),
!def(HAVE_GNUTLS_GNUTLS_H),
def(SUPPORT_CMAN),
