def(DOT_FSA_ACTIONS),
!def(USE_BUGGY_LIBXML),
def(FSA_TRACE),
def(MSG_LOG),
def(XML_TRACE),
def(DOT_ALL_FSA_INPUTS),
!def(DOT_ALL_FSA_INPUTS),
True,
