def(_POSIX_MEMLOCK),
def(SUPPORT_REMOTE),
def(HAVE_GNUTLS_GNUTLS_H),
!def(SUPPORT_CS_QUORUM),
def(SCHED_RR),
!def(HAVE_GNUTLS_GNUTLS_H),
True,
def(FSA_TRACE),
!def(HAVE_G_LOG_SET_DEFAULT_HANDLER),
def(HAVE_GETOPT_H),
def(HAVE_SYS_TIMEB_H),
def(HAVE_SYS_SIGNALFD_H),
def(HAVE_NET_IF_H),
def(HAVE_IPCS_GET_BUFFER_SIZE),
