def(DOT_ALL_FSA_INPUTS),
def(DOT_FSA_ACTIONS),
!def(DOT_ALL_FSA_INPUTS),
True,
!def(USE_BUGGY_LIBXML),
def(INTEGRATED_CIB),
!def(INTEGRATED_CIB),
def(MSG_LOG),
def(XML_TRACE),
def(FSA_TRACE),
