!def(DOT_ALL_FSA_INPUTS),
def(XML_TRACE),
!def(INTEGRATED_CIB),
!def(USE_BUGGY_LIBXML),
def(INTEGRATED_CIB),
def(DOT_FSA_ACTIONS),
True,
def(FSA_TRACE),
def(DOT_ALL_FSA_INPUTS),
def(MSG_LOG),
