def(FSA_TRACE),
!def(USE_BUGGY_LIBXML),
def(XML_TRACE),
def(DOT_ALL_FSA_INPUTS),
True,
def(DOT_FSA_ACTIONS),
def(MSG_LOG),
!def(DOT_ALL_FSA_INPUTS),
