def(HAVE_GNUTLS_GNUTLS_H),
!def(HAVE_GNUTLS_GNUTLS_H),
True,
def(HAVE_NET_IF_H),
def(HAVE_GETOPT_H),
def(ON_LINUX),
!def(HAVE_STRUCT_LRM_OP_T_RSC_DELETED),
def(FSA_TRACE),
def(SUPPORT_CMAN),
def(HAVE_STRUCT_LRM_OP_T_RSC_DELETED),
!def(ON_LINUX),
!def(HAVE_MSGFROMIPC_TIMEOUT),
