def(MSG_LOG),
True,
!def(USE_BUGGY_LIBXML),
def(XML_TRACE),
def(DOT_ALL_FSA_INPUTS),
!def(DOT_ALL_FSA_INPUTS),
def(FSA_TRACE),
def(DOT_FSA_ACTIONS),
